date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells,clipped_price_scenario_cells
2025-04-08,0,Sall,0.0,43256.6240240348,51592.31460293772,44927.83755367739,5201.009903100024,5201.009903100024,0,11,0
2025-04-08,6,Sall,3278.641769299956,29357.209876894594,36454.73163975105,30779.92079006921,9959.585107710689,5201.009903100024,0,4,0
2025-04-08,12,Sall,1349.747637505615,24530.407968259267,28078.926611407318,25241.9647851536,6159.262616273156,5201.009903100024,0,0,0
2025-04-08,18,Sall,18.486344465488628,13585.468801479195,14467.505641108668,13763.1999749174,10769.139691734104,5201.009903100024,0,0,0
2025-04-09,0,Sall,0.0,42303.47005817471,50821.81697573345,44011.22724473891,5201.009903100024,5201.009903100024,0,0,0
2025-04-09,6,Sall,1771.0197499290405,30817.741299558795,38718.73565898815,32401.333214819697,9947.83177814142,5201.009903100024,0,0,0
2025-04-09,12,Sall,1276.3275995852794,24883.027346242372,26951.35610489376,25298.587443445063,6617.770757154128,5201.009903100024,0,0,0
2025-04-09,18,Sall,9.612922023514678,13885.93665204909,15293.630436319927,14168.786218932504,10766.120339506748,5201.009903100024,0,0,0
2025-04-10,0,Sall,0.0,43101.13673342737,50817.172142809715,44648.23569294144,5201.009903100025,5201.009903100025,0,20,0
2025-04-10,6,Sall,1300.7197888129924,31353.13635248079,38125.55614869816,32710.717616858085,9943.32651457023,5201.009903100025,0,8,0
2025-04-10,12,Sall,3030.277855812021,24993.7945532642,26160.73280316649,25228.950157611314,7136.813234177813,5201.009903100025,0,0,0
2025-04-10,18,Sall,52.72611032895054,13854.880146681973,15929.730757822379,14271.161923638245,10800.0,5201.009903100025,0,4,0
2025-04-11,0,Sall,0.0,14210.39540128934,15734.848002004008,14518.02123564612,5201.009903100029,5201.009903100029,0,0,0
2025-04-11,6,Sall,502.2508789223387,9186.532237143507,10665.694191153467,9484.908693315909,3061.625441879534,5201.009903100029,0,0,0
2025-04-11,12,Sall,460.4076041139495,7986.467292873546,9535.97542375351,8298.315524161197,5122.740596712601,5201.009903100029,0,0,0
2025-04-11,18,Sall,19.48516136131252,6971.395959171016,7873.789059059875,7153.111534951787,9980.329210140775,5201.009903100029,0,0,0
2025-04-12,0,Sall,0.0,11792.985280158186,13835.063149898611,12204.568042284774,5201.00990310003,5201.00990310003,0,0,52
