date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-28,6,S6_12,204.6411627338282,8392.046974584759,8771.439857430678,8470.83050627354,6399.706389718598,5703.544233249143,7,4
2025-02-28,12,S6_12,183.80412362271488,8238.552016859634,8620.44067510216,8316.931542652497,5266.382121869569,5703.544233249143,0,0
2025-03-01,0,S6_12,0.0,17691.91798847296,18623.232281644763,17881.87256917551,5703.544233249144,5703.544233249144,8,14
2025-03-01,6,S6_12,4151.491495637793,9506.878692839031,9751.593209950934,9558.704417778608,9065.732934068841,5703.544233249144,8,9
2025-03-01,12,S6_12,119.2806667452338,9327.589620416204,9579.68824356738,9380.203348773684,4540.28530885179,5703.544233249144,12,3
2025-03-02,0,S6_12,0.0,56038.6541275009,57498.842209037204,56335.46096023512,5703.54423324914,5703.54423324914,0,31
2025-03-02,6,S6_12,777.2474659702843,43412.38378335823,44640.4847455533,43661.88059982553,9874.074074074075,5703.54423324914,0,11
2025-03-02,12,S6_12,927.4821530013267,33981.981463095806,34622.82043869709,34112.466862511516,6176.983377076873,5703.54423324914,0,16
2025-03-03,0,S6_12,0.0,57826.113897720184,61427.047043522914,58550.66104948468,5703.544233249141,5703.544233249141,0,5
2025-03-03,6,S6_12,6669.014973858491,43806.68838809474,45099.38078640995,44095.31093736584,10800.0,5703.544233249141,0,14
2025-03-03,12,S6_12,938.16860979221,33771.34419199634,35242.22362299238,34082.39085776376,6909.637986201235,5703.544233249141,0,9
2025-03-04,0,S6_12,0.0,50767.407537315106,54927.13114434668,51603.62608936725,5675.722487196625,5675.722487196625,0,12
2025-03-04,6,S6_12,526.05898678351,39399.750544270784,41507.182946359004,39825.2842876441,9874.074074074075,5675.722487196625,0,0
2025-03-04,12,S6_12,509.18291259003064,31061.416371907377,32382.328531017767,31367.529915388193,6134.21643886194,5675.722487196625,0,0
2025-03-05,0,S6_12,0.0,51949.181115021696,54134.85926147108,52390.719318282114,5600.68932292429,5600.68932292429,0,5
2025-03-05,6,S6_12,2030.757691444989,38772.42401256784,39725.694787222346,38972.49452332284,9874.074074074075,5600.68932292429,0,6
2025-03-05,12,S6_12,2249.863746142798,30654.265585630845,31629.636801922585,30851.43710225221,6554.440868498108,5600.68932292429,0,0
2025-03-06,0,S6_12,0.0,49192.07092948553,51594.78987979532,49676.903433283675,5600.689322924287,5600.689322924287,0,0
2025-03-06,6,S6_12,1666.329829845397,36630.03494192742,37662.139952509766,36840.055000857916,9874.074074074075,5600.689322924287,0,0
2025-03-06,12,S6_12,534.1262506671808,30719.654103719935,31729.004163632697,30924.042118796227,6615.636320184318,5600.689322924287,0,1
2025-03-07,0,S6_12,0.0,15597.515001658323,16189.943948385653,15719.450937201693,5599.8591006556435,5599.8591006556435,0,16
2025-03-07,6,S6_12,2908.6080589174576,8788.589406099163,9529.530471211207,8939.640302307225,6123.042250363795,5599.8591006556435,0,6
2025-03-07,12,S6_12,188.23241845871516,8530.840528441366,8643.211479415953,8555.267270490405,5428.14434675852,5599.8591006556435,0,2
2025-03-08,0,S6_12,0.0,13248.515077046897,13699.425323250536,13342.3942274927,5599.859100655642,5599.859100655642,0,8
2025-03-08,6,S6_12,91.391030850833,8196.549111408473,9153.750479569198,8390.854165516308,4683.908240275024,5599.859100655642,0,3
2025-03-08,12,S6_12,93.10877433465654,8234.942918154824,8543.568070226596,8299.00114854658,3220.7814575587413,5599.859100655642,0,2
2025-03-09,0,S6_12,0.0,50128.20605989776,51924.3492115829,50491.91823419383,5599.859100655646,5599.859100655646,0,0
2025-03-09,6,S6_12,7576.645197125093,34415.435590424495,34649.64592381206,34465.75202564562,9960.98229103856,5599.859100655646,0,1
