date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,2,8,782.878437281601,0.0
2025-07-15,2,9,748.4455875799483,0.0
2025-07-15,2,10,793.8658436956543,0.0
2025-07-15,2,11,777.8798960630777,0.0
2025-07-15,2,12,694.3336190936643,0.0
2025-07-15,2,13,679.560734568373,0.0
2025-07-15,2,14,709.8174201126202,0.0
2025-07-15,2,15,695.6219736260741,0.0
2025-07-15,2,16,723.8134329170612,0.0
2025-07-15,2,17,733.0875696539597,0.0
2025-07-15,2,18,749.2281533722178,0.0
2025-07-15,2,19,729.3157634607398,0.0
2025-07-15,2,20,714.9597725037838,0.0
2025-07-15,2,21,719.6267827082995,0.0
2025-07-15,2,22,692.6522322443191,0.0
2025-07-15,2,23,702.5918310024304,0.0
2025-07-15,2,24,723.6419366200607,0.0
2025-07-15,2,25,700.636573793502,0.0
2025-07-15,2,26,672.9525817593018,0.0
2025-07-15,2,27,667.8963328168627,0.0
2025-07-15,2,28,731.4297248282619,0.0
2025-07-15,2,29,790.5159701126202,0.0
2025-07-15,2,30,771.9397862072052,0.0
2025-07-15,2,31,752.2192775331143,11.23706439434996
2025-07-15,2,32,699.2866539173159,40.09924428548288
2025-07-15,2,33,657.7750030199765,74.39968558311172
2025-07-15,2,34,667.0687476611164,109.89288526121635
2025-07-15,2,35,727.0881473509098,148.57728665952052
2025-07-15,2,36,852.06316737736,189.63762158479108
2025-07-15,2,37,913.1300683409183,230.3774052864984
2025-07-15,2,38,902.6863782272842,272.7491198625484
2025-07-15,2,39,878.0413286296983,321.43761074916307
2025-07-15,2,40,837.5265111862068,367.43828699586703
2025-07-15,2,41,823.8088509732203,407.5683989413669
2025-07-15,2,42,840.6585376936858,447.0029617013413
2025-07-15,2,43,832.0961400422059,494.2483178659878
2025-07-15,2,44,847.8678696309847,534.8653900371434
2025-07-15,2,45,875.2587606052537,563.8718271690864
2025-07-15,2,46,850.4168520425865,594.3587883032069
