date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-07-28,0,S6_12,0.0,60555.66136930287,63800.70992057603,61209.02190667568,1200.000000000001,1200.000000000001,0,36
2025-07-28,6,S6_12,1956.8875330689111,44709.52739922281,52507.84712379024,46272.273005531664,9990.42324022827,1200.000000000001,0,19
2025-07-28,12,S6_12,2715.163598807603,37403.766385180854,39674.14248158161,37859.444077949265,7029.192178877647,1200.000000000001,0,14
2025-07-29,0,S6_12,0.0,56312.6514763393,60177.860549836885,57089.75505156172,1200.000000000001,1200.000000000001,0,3
2025-07-29,6,S6_12,1509.1052136333963,42495.61139805913,44358.20822003206,42871.099155311,10001.753880809774,1200.000000000001,0,3
2025-07-29,12,S6_12,1229.5266271834353,38652.13057346984,52836.83834486127,41490.698866913895,5908.891753271233,1200.000000000001,0,14
2025-07-30,0,S6_12,0.0,54202.89810769515,65195.67654530326,56405.38459827733,1200.0000000000055,1200.0000000000055,0,17
2025-07-30,6,S6_12,4877.444672671467,43782.313565062796,52784.43130617446,45585.65385050284,9972.522485992951,1200.0000000000055,0,8
2025-07-30,12,S6_12,1533.3006302810613,38636.68652853375,52754.81797466013,41461.9361014746,6450.000000000002,1200.0000000000055,0,15
2025-07-31,0,S6_12,0.0,55794.0139692609,66075.7508659951,57854.51471020742,1200.0000000000007,1200.0000000000007,0,15
2025-07-31,6,S6_12,745.4158500591245,41023.577807794296,51129.747400759385,43047.81960549239,9997.833595775037,1200.0000000000007,0,4
2025-07-31,12,S6_12,654.471162613559,36938.87691266306,44453.58808073322,38443.48692238785,7027.029570027878,1200.0000000000007,0,3
2025-08-01,0,S6_12,0.0,27335.717489914696,28535.046264283552,27577.93263349183,1199.9999999999982,1199.9999999999982,0,7
2025-08-01,6,S6_12,1373.3929259216138,16671.19166660252,18127.661805005762,16964.546791103385,2485.901113219353,1199.9999999999982,0,1
2025-08-01,12,S6_12,392.0505877775482,16479.603858276416,17748.653318598946,16734.87887729814,5414.110166241522,1199.9999999999982,0,0
2025-08-02,0,S6_12,0.0,29775.20168516716,32714.08695332227,30365.55731170893,1200.0000000000018,1200.0000000000018,0,18
2025-08-02,6,S6_12,3079.3409723889336,17514.402673686287,18964.596310768757,17806.45986206263,3925.164659822462,1200.0000000000018,0,1
2025-08-02,12,S6_12,264.96417776927603,17586.10320476633,18303.17706781831,17731.21930106538,3664.1210005223083,1200.0000000000018,0,2
2025-08-03,0,S6_12,0.0,48709.837008548464,53325.15455926281,49636.4695351549,1200.0000000000002,1200.0000000000002,0,3
2025-08-03,6,S6_12,1885.9629459923276,32911.37615992446,34242.289946531244,33179.972455461204,9963.569831940167,1200.0000000000002,0,1
2025-08-03,12,S6_12,1980.5697835396963,31010.8854311986,32726.169153060564,31355.28184596375,7014.606677672187,1200.0000000000002,0,0
2025-08-04,0,S6_12,0.0,52948.21590105857,54369.12881031115,53236.24883802647,1200.0000000000027,1200.0000000000027,0,22
2025-08-04,6,S6_12,699.8416969348405,36516.832562979704,37607.78983618921,36737.656781793914,9990.81934412546,1200.0000000000027,0,15
