date,scenario,interval,L_scen_kwh,G_scen_kwh,P_scen_yuan_per_kwh
2025-07-15,2,42,904.5871010595544,448.51933121299913,0.7252079755427725
2025-07-15,2,43,860.9024413810274,520.4937642641607,0.7099386570808145
2025-07-15,2,44,872.9770581828626,596.8767514516031,0.756047571694722
2025-07-15,2,45,931.5591314162587,641.5476920188455,0.7137690965682773
2025-07-15,2,46,922.3429882600512,653.1437093557466,0.6526832274743732
2025-07-15,2,47,974.5198870531161,691.6227343711417,0.8469897178352467
2025-07-15,2,48,1175.5393108918122,756.9895097050241,1.1480963550724432
2025-07-15,2,49,1178.218852526325,788.7739988404185,1.171909204312776
2025-07-15,2,50,1144.7383383838321,798.5758037858542,1.0999822068989702
2025-07-15,2,51,1135.5264932271289,822.3661860070641,1.0907954148341403
2025-07-15,2,52,1133.7028039219283,882.7872839867413,1.1040966009838784
2025-07-15,2,53,1156.617884972968,917.1879942847012,1.084248466931536
2025-07-15,2,54,1197.241809364534,942.4743513465469,1.054358899402765
2025-07-15,2,55,1215.344246783139,1027.2402415522315,1.0553658553217784
2025-07-15,2,56,1228.146737487485,1097.271616838731,1.047373851800285
2025-07-15,2,57,1211.6409897498493,1127.7351374672025,1.0237731047225627
2025-07-15,2,58,1197.5010357370634,1153.9130650099446,0.9746088240004894
2025-07-15,2,59,1188.3655745026792,1206.552489363974,1.026335152685491
2025-07-15,2,60,1187.046438539834,1265.9137342469269,1.1324414468829351
2025-07-15,2,61,1214.2978663598049,1266.6317292358472,1.1918236242725389
2025-07-15,2,62,1203.545340201752,1301.7270639308151,1.1076066905063717
2025-07-15,2,63,1164.2703161683862,1369.1999637220445,1.0520316680858466
2025-07-15,2,64,1141.442326950693,1358.3522004287804,1.107083996841997
2025-07-15,2,65,1172.9661625672077,1338.525507979633,0.9090270106739079
2025-07-15,2,66,1208.294933396603,1354.995501194987,0.5874490589749308
2025-07-15,2,67,1180.2799797253203,1387.3585028882117,0.46350978940008924
2025-07-15,2,68,1160.7937119329868,1444.2201720528897,0.49168707901108877
2025-07-15,2,69,1206.4000148951882,1505.6025972067698,0.5228960699759301
2025-07-15,2,70,1176.835388713567,1527.424832828068,0.4274756413223746
2025-07-15,2,71,1143.7099121285362,1537.8829852850881,0.3841101412252495
2025-07-15,2,72,1152.753990929269,1551.0537660786956,0.4316234238121525
2025-07-15,2,73,1105.487715321204,1542.2484017003617,0.4891752753714853
2025-07-15,2,74,1097.7720860277122,1506.0006945141135,0.5240210219552213
2025-07-15,2,75,1111.8131292826606,1442.983901662671,0.4756066229537203
2025-07-15,2,76,1098.7686817478666,1368.8054258561315,0.44242359678588855
2025-07-15,2,77,1126.8451350999433,1369.255745210196,0.6210890661748711
2025-07-15,2,78,1227.1514323359347,1420.149131077752,0.8899415607513154
2025-07-15,2,79,1215.193520398528,1411.809440228961,0.8449976460041448
2025-07-15,2,80,1219.0895835778772,1376.5399781097524,0.8780041181835693
2025-07-15,2,81,1292.1270932923344,1340.4705792329328,0.9863135233769897
2025-07-15,2,82,1273.2517283813763,1286.6250306791562,0.9549501123813251
2025-07-15,2,83,1245.6242088200856,1200.6745547275345,1.0543094258499859
2025-07-15,2,84,1257.8187215810524,1116.0045015374235,1.310346952208735
2025-07-15,2,85,1265.7326542499864,1101.5428693661072,1.3300624738516469
2025-07-15,2,86,1297.366042086292,1134.764661549456,1.3006874736508627
2025-07-15,2,87,1322.6590997899534,1130.7973464534307,1.3452643765478134
2025-07-15,2,88,1275.2389538947384,1036.4161944459524,1.4132642097459502
2025-07-15,2,89,1257.4662598299476,1033.992317375013,1.1149130718431355
2025-07-15,2,90,1271.1447888617265,1086.6615811256625,0.647381413780851
2025-07-15,2,91,1266.5421257774444,981.9257779324546,0.7276198707160225
2025-07-15,2,92,1267.0106789907757,904.5323916634413,0.8294343838723542
2025-07-15,2,93,1242.3571718163419,902.2985399152154,0.7408348951868038
2025-07-15,2,94,1203.645595945548,842.6454727696048,0.7714517958004449
2025-07-15,2,95,1209.2072309641828,811.9219595027106,0.7827075986590861
2025-07-15,2,96,1252.3794413954856,811.4188852983435,0.7959390025367108
2025-07-15,2,97,1284.458822534079,743.0897750518222,0.8620189365133843
2025-07-15,2,98,1301.747783153916,661.3626095374458,0.9065810612898235
2025-07-15,2,99,1312.8247705098431,594.919693601181,0.9470474432801177
2025-07-15,2,100,1290.5403589574034,515.6181881589671,0.9881632200406405
2025-07-15,2,101,1264.7300215608666,457.79686684758536,1.0454621010277263
2025-07-15,2,102,1224.3721256248812,429.7957441396692,1.1129092144073005
2025-07-15,2,103,1217.8752028658644,396.88369764065664,1.080318623222954
2025-07-15,2,104,1243.8473546125033,347.6658002401561,1.0896593892384225
2025-07-15,2,105,1272.4921276044054,292.3008012806599,1.1050495729809309
2025-07-15,2,106,1283.226935839827,248.4202729249796,1.0549644413179775
2025-07-15,2,107,1190.8184715617758,210.28649412622607,1.1812259226749666
2025-07-15,2,108,986.9341345973965,171.39082994763788,1.3595238012610151
2025-07-15,2,109,983.8260679646838,131.54589332879058,1.3929689008971464
2025-07-15,2,110,1020.2794366873591,98.40574873106019,1.3497920564302144
2025-07-15,2,111,1044.5472971722547,71.04156648831591,1.2863255853959012
2025-07-15,2,112,1042.0529772448956,40.886961706076306,1.375313925198141
2025-07-15,2,113,985.8986157633693,15.617947899597297,1.4718960335385463
2025-07-15,2,114,953.8668292581125,1.1937499999999999,1.6341568484060185
2025-07-15,2,115,955.8397040150041,0.0,1.6549100986272163
2025-07-15,2,116,1003.1932822542873,0.854991949843293,1.6733123858059717
2025-07-15,2,117,992.7672847713561,0.0,1.7062814568855877
2025-07-15,2,118,1012.1183812102993,0.0,1.6770343833251014
2025-07-15,2,119,1025.79301305343,0.03708333333333333,1.6572333947449933
2025-07-15,2,120,1055.1265590655562,0.0,1.7095195781530639
2025-07-15,2,121,991.0312930991809,0.0,1.695661344367106
2025-07-15,2,122,1010.3000752418694,0.0026666666666666666,1.672755274227956
2025-07-15,2,123,1053.348504294865,0.0,1.6666611093930284
2025-07-15,2,124,1060.0615849324122,0.0,1.730198803255507
2025-07-15,2,125,1023.6652858256057,0.00018333333333333334,1.489297490117343
2025-07-15,2,126,1016.6643777639808,0.0,1.1273420324657917
2025-07-15,2,127,1022.7191030932971,0.0,1.0765054030633998
2025-07-15,2,128,1017.7198492099324,0.0,1.077184994871009
2025-07-15,2,129,1052.157799254127,0.0,1.0382453891704861
2025-07-15,2,130,1103.1015571957037,0.0,1.114622860822742
2025-07-15,2,131,957.88261689188,0.0,0.9124114101137191
2025-07-15,2,132,809.6619808683309,0.0,0.5513896620570161
2025-07-15,2,133,850.5144044798898,0.0,0.5766270327228593
2025-07-15,2,134,890.7397620522677,0.0,0.6158787459745366
2025-07-15,2,135,842.8332442462463,0.0,0.5401263177508154
2025-07-15,2,136,839.2906793528782,0.0,0.5697165987812829
2025-07-15,2,137,815.0117784891722,0.0,0.5758778786399363
2025-07-15,2,138,754.119919830851,0.0,0.4986765549134699
2025-07-15,2,139,825.5630827041397,0.0,0.5548166705682465
2025-07-15,2,140,851.300209111596,0.0,0.5905711896350452
2025-07-15,2,141,810.1093855995854,0.0,0.5518785831517237
2025-07-15,2,142,747.7741973340597,0.0,0.5590601322496781
2025-07-15,2,143,778.3661605551798,0.0,0.5561657654151805
2025-07-15,2,144,813.6168322323457,0.0,0.5245171192550959
2025-07-15,3,1,846.2283498866993,0.0,0.6538673844416645
2025-07-15,3,2,869.3992794294692,0.0,0.6327016523721349
2025-07-15,3,3,871.6060250362412,0.0,0.6201376412678171
2025-07-15,3,4,811.2784594102151,0.0,0.6207676906768889
2025-07-15,3,5,798.1843487535016,0.0,0.6102148427210031
