date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-08-17,0,S6,0.0,52065.23887066206,55320.13320512003,52720.18975870584,2036.218620140801,2036.218620140801,0,66
2025-08-17,6,S6,2606.434985043372,35423.471008626024,36328.25869790113,35607.29801443144,9963.75772009565,2036.218620140801,0,15
2025-08-18,0,S6,0.0,51482.68559082513,54550.822305577996,52100.37194267578,2036.2186201408012,2036.2186201408012,0,102
2025-08-18,6,S6,105.43480622343591,35959.37222752224,37111.999418800166,36192.81174169681,9972.782136128468,2036.2186201408012,0,56
2025-08-19,0,S6,0.0,49996.00608244687,52228.59707989204,50446.23801606993,2036.2186201407997,2036.2186201407997,0,59
2025-08-19,6,S6,1052.8756785688988,33824.236406272,35255.48654100963,34113.05210371504,9976.73719252396,2036.2186201407997,0,17
2025-08-20,0,S6,0.0,55089.22082347788,57395.684427656706,55554.73378160853,2036.2186201407965,2036.2186201407965,0,109
2025-08-20,6,S6,4782.599686837303,38665.659872245815,40260.934431672424,38987.73305697709,9943.80968531221,2036.2186201407965,0,62
2025-08-21,0,S6,0.0,53321.69106783687,54561.520420990215,53573.73803324492,2036.2186201407922,2036.2186201407922,0,111
2025-08-21,6,S6,4960.073476657621,36168.73621604491,37338.19345106138,36405.39023567691,9946.157588911436,2036.2186201407922,0,76
2025-08-22,0,S6,0.0,26638.80730995761,27806.722524326364,26874.88619195492,2036.2186201407956,2036.2186201407956,0,97
2025-08-22,6,S6,1777.7896447548278,16310.95893407093,17234.17770529396,16497.796305784243,2937.337461849057,2036.2186201407956,0,38
2025-08-23,0,S6,0.0,25868.960445535555,26570.09857018056,26011.797842724773,2036.2186201407974,2036.2186201407974,0,96
2025-08-23,6,S6,361.62069062470266,16634.512179583933,17514.81277033334,16812.823940809958,3538.5139896770547,2036.2186201407974,0,58
2025-08-24,0,S6,0.0,50228.18842544991,53749.459745058244,50936.42429233066,2036.2186201407987,2036.2186201407987,0,127
2025-08-24,6,S6,3202.8092310904976,33401.67760955859,33770.176080647245,33500.90149214495,9663.319270704345,2036.2186201407987,0,53
2025-08-25,0,S6,0.0,64517.165896494604,66575.34812631401,64933.271479330295,1993.5296693495243,1993.5296693495243,0,145
2025-08-25,6,S6,12326.698049974118,44041.47932631626,45419.9535614646,44320.248271629185,9929.106429949132,1993.5296693495243,0,80
2025-08-26,0,S6,0.0,52048.18931470924,53378.632605730556,52318.221038548945,1993.529669349529,1993.529669349529,0,161
2025-08-26,6,S6,606.6263620877722,37544.08872865924,39928.0468616639,38044.37025995265,9956.80635858127,1993.529669349529,0,70
2025-08-27,0,S6,0.0,51724.30582816208,53045.356567851304,51992.40317648713,1954.978432352359,1954.978432352359,0,167
2025-08-27,6,S6,5535.598534337569,41923.17030738311,43532.99134109086,42276.29917658099,9956.1605140115,1954.978432352359,0,88
2025-08-28,0,S6,0.0,50484.24159501913,51867.23489427561,50764.73072155764,1901.950206601246,1901.950206601246,0,136
2025-08-28,6,S6,4770.237167538129,40818.16292488814,45032.82736567964,41664.13380296799,9949.484332084929,1901.950206601246,0,95
2025-08-29,0,S6,0.0,28575.518323862452,29387.55543018587,28740.661912521482,1901.9502066012462,1901.9502066012462,0,196
2025-08-29,6,S6,1792.7733353002623,17480.453078871717,17807.01281556408,17548.053477025856,4141.666346179397,1901.9502066012462,0,73
2025-08-30,0,S6,0.0,27665.902250243977,28599.114413445375,27855.20085271314,1901.9502066012476,1901.9502066012476,0,173
2025-08-30,6,S6,1359.6339016221173,17224.159069851634,18211.49407613249,17428.69313555396,3506.7240366620827,1901.9502066012476,0,93
2025-08-31,0,S6,0.0,50861.79450647936,52955.61307372841,51284.226854669956,1892.8542852036705,1892.8542852036705,0,184
2025-08-31,6,S6,634.4325279528233,35879.563841678544,38159.539696478256,36338.243251633074,9930.908256707226,1892.8542852036705,0,87
2025-09-01,0,S6,0.0,56258.547729967235,58888.94813279351,56788.70335555672,1892.854285203674,1892.854285203674,0,202
