day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,residual_blocks,emergency_kwh,load_kwh,curtail_kwh,unextracted_kwh,final_soc,settlement_method,primary_emergency_cost,secondary_status,emergency_cost_gap,cost_tolerance,dev_c,dev_r
166,2025-06-16,2822.4716559119684,57165.08596529438,67974.66787384487,54863.26075648772,883.0559541390775,55746.3167106268,0.0017895552038421,0.126821814210906,0.0060188869564126,0,30,228.3805870326442,127618.63201666668,330.5848333333331,10954.153067956286,1764.369435749319,causal_sequential_plan_bounded,883.0559541390775,0,0.0,0.0,3617.532135483708,3438.1335219161847
167,2025-06-17,1764.369435749319,58002.08823549635,67048.54262991998,55821.58871459845,3405.2932645786127,59226.881979177066,0.0062859932046651,0.1213181674026871,0.0036875882859664,0,30,800.2808242896001,127311.7546,194.2427666666669,10687.638196326358,1526.5106220318555,causal_sequential_plan_bounded,3405.2932645786127,0,0.0,0.0,4533.38391810504,3965.90053349375
168,2025-06-18,1526.5106220318555,61582.1360822691,71351.12622071215,59654.48145234469,228.72141462141084,59883.202866966094,0.0004705274924387,0.1973954406326094,0.0030817648510376,0,30,59.714210670364906,126909.07891666668,172.5193166666666,18407.193573825807,2159.6155388753737,causal_sequential_plan_bounded,228.72141462141084,0,0.0,0.0,7567.844158737242,6993.607753565006
169,2025-06-19,2159.6155388753737,56368.65284079232,67625.2340271895,54170.78421104909,1153.8353790635642,55324.619590112656,0.0019976771977755,0.1461444969129675,0.0314361236591111,0,30,254.4023271041275,127349.06689999998,1857.5468,12492.473382501168,1726.5607143444363,causal_sequential_plan_bounded,1153.8353790635642,0,0.0,0.0,4793.622925092222,4356.739212234694
170,2025-06-20,1726.5607143444363,24801.135393559176,32895.41568338974,23230.724512194727,48.47034236286564,23279.194854557594,0.0002731975684126,0.12805847514354,0.15267535956853,0,30,22.166452886697435,81137.07971666666,8967.616084264888,5008.575882810692,2278.907512473861,causal_sequential_plan_bounded,48.47034236286564,0,0.0,0.0,1110.5154278061211,1870.5342577494307
171,2025-06-21,2278.907512473861,24656.790590040226,32144.328066992,23483.162175263704,765.365808552584,24248.52798381629,0.0024498829295325,0.136533547096554,0.2129668132392615,0,30,199.44022827980277,81408.0648,13219.558084634891,5472.897705853802,2358.752498208345,causal_sequential_plan_bounded,765.365808552584,0,0.0,0.0,365.5248659058798,1338.952389771271
172,2025-06-22,2358.752498208345,49305.538415754185,53841.95323275395,46979.25963745818,6634.964848150511,53614.22448560869,0.0118836436109968,0.0784511307678556,0.0202055737590117,0,30,1503.7498681449788,126539.46191666664,1193.7881499999994,5927.689109973941,1405.0610399787,causal_sequential_plan_bounded,6634.964848150511,0,0.0,0.0,3444.3213681236066,2974.455244160951
173,2025-06-23,1405.0610399787,52262.56398949672,55537.654220198114,49972.81281162733,1557.4945594127698,51530.3073710401,0.0035717421368685,0.0984227591290851,0.0228930333150641,0,30,452.5071297484132,126690.87308333332,1365.1021236622662,7863.879164086761,1656.2912812791265,causal_sequential_plan_bounded,1557.4945594127698,0,0.0,0.0,2541.4874259470266,2469.2669681683046
174,2025-06-24,1656.2912812791265,51645.43729070315,63687.24044322322,49322.30775476738,16379.665882421872,65701.97363718925,0.0276631935322944,0.0294502058065437,0.0008564751292842,0,30,3516.3472321366044,127112.84501666666,43.54666666666665,2327.0352222200595,1424.273884461366,causal_sequential_plan_bounded,16379.665882421872,0,0.0,0.0,990.1665630798371,1003.8814121098958
175,2025-06-25,1424.273884461366,56255.77626853115,66958.11733825135,54001.79851591614,788.8431983082819,54790.641714224425,0.0016824379136638,0.1292916101173909,0.0095345922594823,0,30,212.5094200386038,126310.40843333332,532.72615,11084.604855529193,1708.2078161831669,causal_sequential_plan_bounded,788.8431983082819,0,0.0,0.0,4830.494738964317,4370.087773125948
176,2025-06-26,1708.2078161831669,53103.796346807074,56708.65850998528,50783.5302163516,1646.9719135131284,52430.502129864726,0.0028193495646612,0.1189722675223479,0.0063806204617022,0,30,357.20438743820114,126697.44536666664,377.414092930535,9604.768319080207,1540.978490469777,causal_sequential_plan_bounded,1646.9719135131284,0,0.0,0.0,3445.1360116313926,3097.440810844224
177,2025-06-27,1540.978490469777,23547.75962804877,30824.25883073627,21970.20606876207,157.2109818559048,22127.417050617973,0.0006549669678391,0.1085600604653338,0.1896317200050543,0,30,52.11130387876503,79563.255,11338.385681823916,4120.373391496944,2020.4278209879649,causal_sequential_plan_bounded,157.2109818559048,0,0.0,0.0,516.9102530949481,1157.0823438960742
