date,cost_plan_R1,cost_plan_R2,diff,cost_emergency
2025-04-10,38606.43866723018,39509.588782258674,-903.1501150284967,2428.707993993017
2025-04-11,11279.773428745953,14505.383263954252,-3225.609835208299,864.4665820204754
2025-04-12,11586.855061388864,11472.96663285503,113.88842853383358,580.953599262728
2025-04-13,38721.715025164216,38636.58872114875,85.1263040154663,2789.1543720889276
2025-04-14,37218.74357301273,37459.50556285339,-240.7619898406556,1939.2238016448077
2025-04-15,38086.60586282374,38733.83711702586,-647.2312542021245,1695.2179492380978
2025-04-16,38145.36256145623,37520.369093034504,624.9934684217296,2912.567310822992
2025-04-17,37357.456880691345,37948.63096086173,-591.1740801703854,544.9320298376331
2025-04-18,11132.290778331575,14363.764294569324,-3231.473516237749,315.3807223404349
2025-04-19,10947.039612759907,10956.372719938452,-9.333107178545106,591.689571207319
2025-04-20,36640.079950179905,36700.54923593684,-60.469285756938916,1636.7381991191032
2025-04-21,35641.91270337942,36266.71834230098,-624.8056389215562,1288.5767174397229
2025-04-22,36143.303687815554,35904.19580532331,239.10788249224424,1924.3215456265207
2025-04-23,36787.25175591329,36380.05177084217,407.1999850711218,1381.0452048101138
2025-04-24,36567.52864727726,36709.60306382747,-142.07441655021103,1121.3329119761022
2025-04-25,10267.908517184724,13419.881442446422,-3151.972925261698,612.7880949498281
2025-04-26,10493.811369728566,10190.48245039104,303.3289193375258,1662.7715409872226
2025-04-27,34410.675873608285,35023.24600017088,-612.5701265625976,2947.5026860034404
2025-04-28,34547.558073190354,34153.68471352832,393.8733596620368,18218.577817154182
2025-04-29,36191.37811377623,36713.02552799159,-521.6474142153602,1637.1478102150836
2025-04-30,36342.27280897929,36254.57975982064,87.69304915864632,1189.070276166989
2025-05-01,36205.05677830304,35020.62267992427,1184.4340983787697,14224.247859597499
2025-05-02,12470.916290406249,11715.394561010864,755.5217293953847,4246.325235293742
2025-05-03,13522.191931883175,13114.064705263925,408.12722661925,1644.4092958462963
2025-05-04,41341.77596283572,40048.18739116963,1293.5885716660923,2755.2957329989167
2025-05-05,42078.202146286785,40752.31996159505,1325.8821846917344,4236.5938469219
2025-05-06,41850.970885591094,40581.20501050264,1269.7658750884511,2876.418365344952
2025-05-07,41662.4829754719,40729.60152944312,932.8814460287831,866.0689160318539
2025-05-08,42824.9127201775,41467.83581596875,1357.0769042087486,2597.602004199869
2025-05-09,14451.851480724039,14129.31394097406,322.53753974997926,145.9599497276161
2025-05-10,14148.480210264306,13570.014616645802,578.4655936185045,1362.6572396945749
2025-05-11,44776.741689501716,43988.58537445337,788.1563150483489,2170.9615994188744
2025-05-12,47343.401786533366,46887.07705537401,456.32473115935863,119.81278845095402
2025-05-13,42067.78185870161,41780.34783958604,287.4340191155716,215.3320450959659
2025-05-14,42261.189577770056,42606.666660114366,-345.4770823443105,353.13868059719795
2025-05-15,42249.29095983942,41897.818568204646,351.47239163477207,785.4491543899564
2025-05-16,13336.344856056017,13117.4916127726,218.85324328341812,412.0834297307364
2025-05-17,13546.598223290433,13313.100501372794,233.49772191763986,1508.514505282403
2025-05-18,41819.71203133634,41249.82807198084,569.8839593555022,1624.426778458728
2025-05-19,38884.33309662109,39552.54612174661,-668.2130251255148,1335.3932763113294
2025-05-20,39921.812521475935,39712.496809660006,209.3157118159288,1618.393892797248
2025-05-21,40267.77169029735,39811.50223342983,456.2694568675215,1475.395930472651
2025-05-22,39603.3073926472,39922.64298055746,-319.3355879102601,566.415017288381
2025-05-23,14080.45985361794,18110.96111752225,-4030.501263904309,185.88277642168535
2025-05-24,13192.174027817107,13201.047444097678,-8.873416280570382,590.4378728567382
2025-05-25,40264.72542916882,40161.45861699181,103.26681217701116,406.79577935007273
2025-05-26,38054.77787625114,38231.4278228639,-176.64994661276432,5213.19186926774
2025-05-27,38049.43248969794,37992.92147752907,56.511012168870366,648.1851904041799
2025-05-28,38569.81689069809,38356.47861073678,213.33827996131004,3343.845323364869
2025-05-29,39460.89411787045,39002.94874101566,457.9453768547901,2129.7724009211306
2025-05-30,13678.655931600875,13415.219423382961,263.4365082179138,544.7550791554776
2025-05-31,13295.367566692468,13764.235611053316,-468.8680443608482,1035.2193006717343
2025-06-01,46566.227526580886,42257.927625113174,4308.299901467712,33364.17165287994
2025-06-02,56205.010725217304,51618.91408613601,4586.096639081297,7810.951960280773
2025-06-03,58256.91073707232,57881.29270425803,375.61803281429457,610.8237819614146
2025-06-04,57141.58164630845,56081.134402094314,1060.4472442141341,2498.838038075791
2025-06-05,58994.39902608386,57890.870050483325,1103.5289756005368,1696.426053628471
2025-06-06,22583.784468970407,27872.582066485313,-5288.797597514906,1586.089432031361
2025-06-07,21404.744594999844,23362.76291138382,-1958.0183163839756,2050.9469895572615
2025-06-08,72258.06985780055,56808.33589394583,15449.733963854727,139.30712083416182
2025-06-09,57413.35515017243,56117.65929845017,1295.6958517222592,2901.159406744867
2025-06-10,66722.46605401258,65566.93393716181,1155.5321168507653,53.279923676724856
2025-06-11,57836.4947843226,57253.74691744832,582.747866874277,7607.673978750425
2025-06-12,59513.82996443156,59225.28313776654,288.5468266650205,2377.948245072594
2025-06-13,24698.588135465434,30943.00827247649,-6244.420137011057,2668.1722770657984
2025-06-14,20160.029108031093,19723.77986832968,436.2492397014139,1167.3410919455853
2025-06-15,67814.41174126464,66521.86272774491,1292.5490135197324,0.0
2025-06-16,60854.16051935339,60180.57205695675,673.5884623966413,1356.5830315776136
2025-06-17,61413.482939450376,60730.195736597154,683.287202853222,4671.035720701606
2025-06-18,68406.24176755411,67397.21248033948,1009.0292872146238,171.2068537457772
2025-06-19,59139.29064512544,59506.30526745847,-367.0146223330303,1223.9800085966626
2025-06-20,20479.61352743344,25808.78444723419,-5329.170919800748,256.8359723820602
2025-06-21,21423.947616258145,20794.73825674502,629.2093595131264,784.0871081153595
2025-06-22,51373.44865276433,50377.43812402827,996.0105287360639,9380.45335755756
2025-06-23,54406.0365033547,54985.28336455448,-579.2468611997829,1551.7439991848955
2025-06-24,54401.47531406059,52974.51401032736,1426.961303733231,22869.063347007523
2025-06-25,58375.50812104423,58745.22922041659,-369.7210993723638,1054.7810121596203
2025-06-26,53203.92111870848,54170.399540940314,-966.478422231834,2542.355509937446
2025-06-27,19428.007835709173,24542.207040386944,-5114.1992046777705,185.22518180590396
2025-06-28,17833.975220807348,17499.20418337192,334.7710374354283,1616.3180778604676
2025-06-29,62123.29585372665,61796.51423113075,326.7816225959032,1897.9696753522885
2025-06-30,61931.72255998675,61799.65159591641,132.0709640703426,2256.6496754738896
2025-07-01,61664.234638178925,56514.08115480834,5150.153483370588,23278.84191324869
2025-07-02,72227.69687868137,67206.09128481739,5021.6055938639765,924.8841853125182
2025-07-03,63730.1043022193,62282.48440054424,1447.6199016750543,15901.081805222853
2025-07-04,25584.71879858784,30982.40690221768,-5397.68810362984,6623.610603931009
2025-07-05,24040.951599826774,21842.793735488493,2198.157864338282,5732.880031169074
2025-07-06,65303.711315551795,50075.54018013776,15228.171135414035,18015.798057912765
2025-07-07,65534.62078663359,65173.58237010407,361.03841652951814,3094.124343525844
2025-07-08,73189.29258431583,72824.22021932706,365.0723649887659,344.33388407579446
2025-07-09,71697.47311994896,71240.71564233906,456.75747760990635,302.72191749415606
2025-07-10,68120.21621864794,67737.01100709575,383.20521155219467,493.5143052570993
