date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-03-06,64,30,62,0,631,0,5.226981547658596,9.720826806380273,0.01426272368904943,0
2025-03-07,65,30,64,0,1643,0,4.355537398219026,6.985757138010931,0.01746011893584053,0
2025-03-08,66,30,65,0,1431,5,4.192168853984392,11.511989924142272,0.01616124264230842,0
2025-03-09,67,30,65,0,1765,0,4.673198846051579,6.362162768870048,0.019256527948136766,0
2025-03-10,68,30,67,0,610,0,3.9165595937652253,4.527473959352786,0.014690394822806195,0
2025-03-11,69,30,68,0,369,0,5.129473140058715,4.582941762120846,0.014746555770113282,0
2025-03-12,70,30,69,0,508,0,6.212742744696444,5.218963387954643,0.05517664311900873,0
2025-03-13,71,30,69,0,870,0,4.106801680126809,6.9664802572644,0.015209933265022763,0
2025-03-14,72,30,71,0,806,0,4.33924527772387,4.958644913307688,0.012491189532058317,0
2025-03-15,73,30,72,0,950,4,3.838610244136831,7.099013230332314,0.009753008342276116,0
2025-03-16,74,30,72,0,1383,0,3.9352658291976996,4.143701123798335,0.021315302432769242,0
2025-03-17,75,30,74,0,1202,0,3.6773612525186814,4.580922957870195,0.023375262068588674,0
2025-03-18,76,30,75,0,0,0,5.372999225912251,9.640420394490464,0.020393070000895953,0
2025-03-19,77,30,75,0,219,0,4.0842853410955975,9.899306933012683,0.03769032917607795,0
2025-03-20,78,30,77,0,1204,0,3.519497290020192,8.320939454484053,0.027649892756052966,0
2025-03-21,79,30,77,0,1020,0,5.024536278455113,10.225973938603152,0.032483863580262146,0
2025-03-22,80,30,76,0,943,4,3.8509786352594286,4.237955746829294,0.014104910921854282,0
2025-03-23,81,30,79,0,1354,55,3.863204568905375,5.720643164837046,0.04720965735413188,0
2025-03-24,82,30,81,0,319,0,5.27526666907465,6.020959272299422,0.017426356280707565,0
2025-03-25,83,30,82,0,0,0,4.776551817747759,10.681233484160105,0.03732603023943596,0
2025-03-26,84,30,83,0,1485,0,3.162510681259606,4.917582125560603,0.013075082807506352,0
2025-03-27,85,30,83,0,1329,0,3.5736797725832994,4.813717075366284,0.012984641465677018,0
2025-03-28,86,30,85,0,528,0,4.5438227612966955,8.518718238593308,0.03491763966728348,0
2025-03-29,87,30,86,0,1380,58,3.5383566348363313,6.655143320972295,0.03582335182114562,0
2025-03-30,88,30,85,0,866,68,3.624816208803568,7.495482471857266,0.028118998705333964,0
2025-03-31,89,30,84,0,0,0,4.3033670033509095,7.478239266431056,0.008932673090143374,0
2025-04-01,90,30,88,0,69,0,4.132234609645168,5.757465405464124,0.016836843253983578,0
2025-04-02,91,30,90,0,1122,0,3.538851464293787,3.9716919560747854,0.043104225923127126,0
2025-04-03,92,30,91,0,1241,0,4.143417752408918,9.95900029016706,0.010477751681256012,0
2025-04-04,93,30,86,0,897,0,4.655106524202018,6.628243752166609,0.03869296107913853,0
2025-04-05,94,30,88,0,1064,27,5.143145922468986,8.890235480202275,0.0126253736296588,0
2025-04-06,95,30,90,0,902,0,4.402273484787718,8.558027312076142,0.015267496628915503,0
2025-04-07,96,30,95,0,481,0,3.9258435890707974,8.116224485060137,0.014697014272214093,0
2025-04-08,97,30,96,0,543,0,3.539397930440799,7.402826943260575,0.032205430974168614,0
2025-04-09,98,30,97,0,619,0,4.015396694924649,10.415881087712933,0.012132477404786264,0
2025-04-10,99,30,96,0,724,0,3.321223722769189,4.68289855111664,0.014886131054577374,0
2025-04-11,100,30,99,0,1190,0,3.592203091361311,5.157013289555546,0.03300519336777975,0
2025-04-12,101,30,100,0,1896,62,4.026781942532918,5.117305580814903,0.03154153357128989,0
2025-04-13,102,30,101,0,1407,0,3.247069326722409,6.433816448725054,0.02124058808222289,0
2025-04-14,103,30,102,0,469,0,4.276795382709848,5.179185470175102,0.023066078623929714,0
2025-04-15,104,30,103,0,1005,0,4.656686866674057,6.474968442317167,0.014170613305280886,0
